StateAbbr,State,TOPIC,ValueOrig1,Value1,AvgOW,LAT,LON,Questio
UT,Utah,LivingHalfMilePark,52.5,52.5,25.5,39.36070017,-111.5871306,PercentPopLivingHalfMilePark
VT,Vermont,LivingHalfMilePark,13.9,13.9,28,43.62538124,-72.51764079,PercentPopLivingHalfMilePark
VA,Virginia,LivingHalfMilePark,31,31,30.2,37.54268067,-78.45789046,PercentPopLivingHalfMilePark
WI,Wisconsin,LivingHalfMilePark,49.4,49.4,31.2,44.39319117,-89.81637074,PercentPopLivingHalfMilePark
WY,Wyoming,LivingHalfMilePark,27.4,27.4,27.7,43.23554134,-108.1098304,PercentPopLivingHalfMilePark
GA,Georgia,YouthAccessPlayWalkAreas,41.1,41.1,30.5,32.83968109,-83.62758035,PercentYouthParksCommSidewalk
MO,Missouri,YouthAccessPlayWalkAreas,50,50,31.5,38.63579078,-92.56630005,PercentYouthParksCommSidewalk
HI,Hawaii,YouthAccessPlayWalkAreas,68,68,25.5,21.30485044,-157.8577494,PercentYouthParksCommSidewalk
ID,Idaho,YouthAccessPlayWalkAreas,55.5,55.5,28.8,43.68263001,-114.36373,PercentYouthParksCommSidewalk
MT,Montana,YouthAccessPlayWalkAreas,53.7,53.7,26.3,47.06652897,-109.4244206,PercentYouthParksCommSidewalk
NE,Nebraska,YouthAccessPlayWalkAreas,56.8,56.8,32,41.64104099,-99.36572062,PercentYouthParksCommSidewalk
IL,Illinois,YouthAccessPlayWalkAreas,65.6,65.6,31,40.48501028,-88.99771018,PercentYouthParksCommSidewalk
MN,Minnesota,YouthAccessPlayWalkAreas,60.7,60.7,28.8,46.35564874,-94.7942005,PercentYouthParksCommSidewalk
IN,Indiana,YouthAccessPlayWalkAreas,47.9,47.9,32.2,39.76691045,-86.14996019,PercentYouthParksCommSidewalk
MS,Mississippi,YouthAccessPlayWalkAreas,30,30,36.7,32.7455101,-89.53803082,PercentYouthParksCommSidewalk
IA,Iowa,YouthAccessPlayWalkAreas,58.2,58.2,31.5,42.46940091,-93.81649056,PercentYouthParksCommSidewalk
KS,Kansas,YouthAccessPlayWalkAreas,59.1,59.1,31.2,38.3477403,98.20078123,PercentYouthParksCommSidewalk
DE,Delaware,YouthAccessPlayWalkAreas,51.8,51.8,30.3,39.00883067,-75.57774117,PercentYouthParksCommSidewalk
MA,Massachusetts,YouthAccessPlayWalkAreas,63.2,63.2,24.6,42.27687047,-72.08269067,PercentYouthParksCommSidewalk
AL,Alabama,YouthAccessPlayWalkAreas,37,37,35.4,32.84057112,-86.63186076,PercentYouthParksCommSidewalk
AZ,Arizona,YouthAccessPlayWalkAreas,57.3,57.3,29.6,34.86597028,-111.7638113,PercentYouthParksCommSidewalk
RI,Rhode Island,YouthAccessPlayWalkAreas,64.6,64.6,26.9,41.70828019,-71.52247031,PercentYouthParksCommSidewalk
AK,Alaska,YouthAccessPlayWalkAreas,57.1,57.1,31.6,64.84507996,-147.722059,PercentYouthParksCommSidewalk
AR,Arkansas,YouthAccessPlayWalkAreas,43,43,35.5,34.74865012,-92.27449074,PercentYouthParksCommSidewalk
CA,California,YouthAccessPlayWalkAreas,66.7,66.7,26.1,37.63864012,-120.9999995,PercentYouthParksCommSidewalk
CO,Colorado,YouthAccessPlayWalkAreas,69.9,69.9,23.3,38.84384076,-106.1336109,PercentYouthParksCommSidewalk
CT,Connecticut,YouthAccessPlayWalkAreas,54.7,54.7,27.1,41.56266102,-72.64984095,PercentYouthParksCommSidewalk
DC,District of Columbia,YouthAccessPlayWalkAreas,76.3,76.3,24.6,38.89037139,-77.03196113,PercentYouthParksCommSidewalk
MD,Maryland,YouthAccessPlayWalkAreas,56.9,56.9,30.1,39.29058096,-76.60926011,PercentYouthParksCommSidewalk
MI,Michigan,YouthAccessPlayWalkAreas,52.5,52.5,32.5,44.66131954,-84.71439027,PercentYouthParksCommSidewalk
OH,Ohio,YouthAccessPlayWalkAreas,52.2,52.2,32.8,40.06021014,-82.40426006,PercentYouthParksCommSidewalk
WA,Washington,YouthAccessPlayWalkAreas,61.1,61.1,29.4,47.52227863,-120.4700108,PercentYouthParksCommSidewalk
WV,West Virginia,YouthAccessPlayWalkAreas,57.2,57.2,38.1,38.6655102,-80.71264013,PercentYouthParksCommSidewalk
FL,Florida,YouthAccessPlayWalkAreas,51.4,51.4,27.5,28.93204038,-81.92896054,PercentYouthParksCommSidewalk
KY,Kentucky,YouthAccessPlayWalkAreas,40.6,40.6,34,37.64597027,-84.77497105,PercentYouthParksCommSidewalk
LA,Louisiana,YouthAccessPlayWalkAreas,35.4,35.4,35.7,31.31266064,-92.44568007,PercentYouthParksCommSidewalk
ME,Maine,YouthAccessPlayWalkAreas,48.7,48.7,30.9,45.25422889,-68.98503134,PercentYouthParksCommSidewalk
NV,Nevada,YouthAccessPlayWalkAreas,64.6,64.6,25.8,39.49324039,-117.0718406,PercentYouthParksCommSidewalk
